,TRACT,Estimated.Median.Family.Income,Less.Than.High.School,High.School,Some.College,College.Graduate,Graduate.School,Educational.Attainment.Score,X..of.Single.Parent.Households,X..of.Owner.Occupied.Homes,X..of.Population.Speaking.a.Language.Other.than.English,Weighted.Average.ISAT.Performance.at.Attendance.Area.Schools,Number.of.School.Age.Children,Estimated.Median.Family.Income.Cumulative.Percentage,Educational.Attainment.Score.Cumulative.Percentage,X..of.Single.Parent.Households.Cumulative.Percentage,X..of.Owner.Occupied.Homes.Cumulative.Percentage,X..of.Population.Speaking.a.Language.Other.than.English.Cumulative.Percentage,Weighted.Average.ISAT.Performance.at.Attendance.Area.Schools.Cumulative.Percentage,X6.Factor.Socioeconomic.Score,X6.Factor.Socioeconomic.Tier,income,educ,single,owner,english,isat,tracta,factorsocioeconomictier
764,8403,53737,"1,254",726,364,114,36,0.36,0.28,0.6,0.59,0.79,742,0.65,0.14,0.74,0.75,0.33,0.48,0.5128,3,NA,0.14,0.28,0.75,0.59,0.79,840300,3
765,8404,51115,"1,038",545,417,150,48,0.38,0.33,0.56,0.63,0.81,513,0.59,0.2,0.59,0.7,0.29,0.58,0.4921,3,NA,0.2,0.33,0.7,0.63,0.81,840400,3
766,8407,29740,"1,426",558,167,61,57,0.31,0.42,0.25,0.9,0.73,991,0.14,0.03,0.42,0.11,0.02,0.3,0.1699,1,NA,0.03,0.42,0.11,0.9,0.73,840700,1
767,8408,34543,"1,371",287,223,30,22,0.29,0.39,0.37,0.91,0.82,944,0.22,0,0.47,0.35,0.01,0.63,0.2816,1,NA,0,0.39,0.35,0.91,0.82,840800,1
768,8410,10694,342,129,137,0,24,0.36,0.39,0.47,0.05,0.76,60,0.01,0.14,0.47,0.57,0.75,0.35,0.3791,2,NA,0.14,0.39,0.57,0.05,0.76,841000,2
769,8411,38773,"2,218","1,114",650,661,310,0.43,0.2,0.41,0.83,0.89,847,0.31,0.43,0.9,0.46,0.06,0.91,0.5122,3,NA,0.43,0.2,0.46,0.83,0.89,841100,3
770,8412,30538,"1,682",817,332,100,61,0.34,0.42,0.27,0.85,0.77,"1,114",0.15,0.08,0.42,0.14,0.05,0.38,0.2018,1,NA,0.08,0.42,0.14,0.85,0.77,841200,1
771,8413,34047,"1,492",600,439,153,33,0.35,0.38,0.29,0.8,0.81,845,0.21,0.11,0.49,0.18,0.09,0.58,0.2771,1,NA,0.11,0.38,0.18,0.8,0.81,841300,1
772,8414,16922,247,275,289,37,23,0.44,0.76,0.26,0.04,0.66,348,0.02,0.48,0.15,0.13,0.8,0.15,0.2872,1,NA,0.48,0.76,0.13,0.04,0.66,841400,1
773,8415,14523,701,472,245,17,33,0.36,0.81,0.21,0.01,0.6,854,0.01,0.14,0.07,0.07,0.98,0.02,0.2164,1,NA,0.14,0.81,0.07,0.01,0.6,841500,1
