,TRACT,Estimated.Median.Family.Income,Less.Than.High.School,High.School,Some.College,College.Graduate,Graduate.School,Educational.Attainment.Score,X..of.Single.Parent.Households,X..of.Owner.Occupied.Homes,X..of.Population.Speaking.a.Language.Other.than.English,Weighted.Average.ISAT.Performance.at.Attendance.Area.Schools,Number.of.School.Age.Children,Estimated.Median.Family.Income.Cumulative.Percentage,Educational.Attainment.Score.Cumulative.Percentage,X..of.Single.Parent.Households.Cumulative.Percentage,X..of.Owner.Occupied.Homes.Cumulative.Percentage,X..of.Population.Speaking.a.Language.Other.than.English.Cumulative.Percentage,Weighted.Average.ISAT.Performance.at.Attendance.Area.Schools.Cumulative.Percentage,X6.Factor.Socioeconomic.Score,X6.Factor.Socioeconomic.Tier,income,educ,single,owner,english,isat,tracta,factorsocioeconomictier
137,814.02,112667,122,219,633,958,"1,323",0.79,0.27,0.47,0.22,0.89,152,0.97,0.99,0.77,0.57,0.59,0.91,0.7994,4,NA,0.99,0.27,0.57,0.22,0.89,81402,4
138,814.03,172601,71,219,818,"2,001","2,515",0.84,0.17,0.36,0.22,0.89,149,0.99,1,0.93,0.33,0.59,0.91,0.7934,4,NA,1,0.17,0.33,0.22,0.89,81403,4
139,815,267848,47,199,787,"1,357","1,354",0.8,0.19,0.46,0.2,0.89,103,1,0.99,0.92,0.55,0.6,0.91,0.8279,4,NA,0.99,0.19,0.55,0.2,0.89,81500,4
140,816,96758,78,187,740,"1,080","1,034",0.78,0.17,0.35,0.21,0.89,59,0.95,0.98,0.93,0.31,0.6,0.91,0.7823,4,NA,0.98,0.17,0.31,0.21,0.89,81600,4
141,817,87823,244,330,709,918,764,0.71,0.27,0.39,0.19,0.89,98,0.94,0.97,0.77,0.41,0.61,0.91,0.7692,4,NA,0.97,0.27,0.41,0.19,0.89,81700,4
142,818,147109,127,226,826,"2,884","2,699",0.83,0.12,0.6,0.12,0.88,155,0.99,1,0.99,0.75,0.65,0.88,0.875,4,NA,1,0.12,0.75,0.12,0.88,81800,4
143,819,9270,613,235,207,13,0,0.33,0.55,0.55,0.03,0.64,182,0.01,0.05,0.35,0.69,0.86,0.09,0.3388,2,NA,0.05,0.55,0.69,0.03,0.64,81900,2
144,901,68650,447,764,719,357,189,0.53,0.17,0.85,0.2,0.91,530,0.86,0.78,0.93,0.95,0.6,0.95,0.8437,4,NA,0.78,0.17,0.95,0.2,0.91,90100,4
145,902,81109,481,"1,102","1,392","1,099",492,0.6,0.15,0.72,0.13,0.91,953,0.93,0.9,0.96,0.84,0.65,0.95,0.8694,4,NA,0.9,0.15,0.84,0.13,0.91,90200,4
146,903,80990,133,130,338,175,98,0.59,0.14,0.85,0.15,0.91,218,0.93,0.87,0.97,0.95,0.64,0.95,0.8835,4,NA,0.87,0.14,0.95,0.15,0.91,90300,4
147,1001,70569,564,"1,172","1,046",682,394,0.56,0.24,0.63,0.32,0.89,778,0.88,0.84,0.83,0.77,0.52,0.91,0.7924,4,NA,0.84,0.24,0.77,0.32,0.89,100100,4
148,1002,67469,826,"1,422","1,439",835,354,0.54,0.17,0.74,0.28,0.91,"1,046",0.84,0.79,0.93,0.85,0.55,0.95,0.8196,4,NA,0.79,0.17,0.85,0.28,0.91,100200,4
149,1003,83749,769,"1,218","1,281",848,430,0.55,0.14,0.69,0.23,0.92,853,0.93,0.82,0.97,0.82,0.59,0.97,0.8494,4,NA,0.82,0.14,0.82,0.23,0.92,100300,4
150,1004,85317,269,573,623,488,182,0.58,0.12,0.93,0.27,0.92,507,0.94,0.87,0.99,0.99,0.56,0.97,0.8857,4,NA,0.87,0.12,0.99,0.27,0.92,100400,4
151,1005,69743,726,"1,135","1,319",645,343,0.54,0.17,0.88,0.31,0.93,989,0.87,0.79,0.93,0.97,0.54,0.98,0.8465,4,NA,0.79,0.17,0.97,0.31,0.93,100500,4
152,1006,74548,705,"1,149",847,583,164,0.5,0.17,0.81,0.28,0.91,681,0.9,0.71,0.93,0.92,0.55,0.95,0.8267,4,NA,0.71,0.17,0.92,0.28,0.91,100600,4
153,1007,61853,783,"1,040","1,080",440,203,0.5,0.13,0.92,0.32,0.91,673,0.78,0.71,0.98,0.99,0.52,0.95,0.8201,4,NA,0.71,0.13,0.99,0.32,0.91,100700,4
154,1101,70016,661,"1,117",919,524,324,0.53,0.23,0.64,0.29,0.86,757,0.87,0.78,0.85,0.78,0.55,0.81,0.7721,4,NA,0.78,0.23,0.78,0.29,0.86,110100,4
155,1102,61642,521,732,437,173,121,0.46,0.3,0.51,0.36,0.86,379,0.77,0.54,0.69,0.63,0.5,0.81,0.6572,4,NA,0.54,0.3,0.63,0.36,0.86,110200,4
156,1103,69716,828,997,"1,069",515,255,0.51,0.15,0.84,0.35,0.88,762,0.87,0.73,0.96,0.94,0.51,0.88,0.8133,4,NA,0.73,0.15,0.94,0.35,0.88,110300,4
157,1104,90241,640,860,"1,000",501,248,0.53,0.27,0.58,0.46,0.88,537,0.95,0.78,0.77,0.72,0.43,0.88,0.7548,4,NA,0.78,0.27,0.72,0.46,0.88,110400,4
158,1105.01,63938,458,"1,153",909,444,279,0.53,0.23,0.65,0.41,0.87,724,0.8,0.78,0.85,0.79,0.47,0.86,0.7571,4,NA,0.78,0.23,0.79,0.41,0.87,110501,4
159,1105.02,56300,512,605,669,353,255,0.54,0.27,0.53,0.41,0.88,417,0.69,0.79,0.77,0.66,0.47,0.88,0.7105,4,NA,0.79,0.27,0.66,0.41,0.88,110502,4
160,1201,101752,143,502,627,754,715,0.7,0.11,0.93,0.15,0.92,914,0.96,0.96,1,0.99,0.64,0.97,0.9188,4,NA,0.96,0.11,0.99,0.15,0.92,120100,4
161,1202,89544,338,659,819,721,513,0.63,0.13,0.85,0.27,0.96,767,0.95,0.92,0.98,0.95,0.56,1,0.8911,4,NA,0.92,0.13,0.95,0.27,0.96,120200,4
162,1203,101283,394,937,"1,043","1,149",958,0.66,0.15,0.87,0.33,0.95,"1,145",0.96,0.94,0.96,0.96,0.52,1,0.887,4,NA,0.94,0.15,0.96,0.33,0.95,120300,4
163,1204,74547,465,698,640,410,224,0.54,0.17,0.76,0.36,0.88,580,0.9,0.79,0.93,0.87,0.5,0.88,0.8132,4,NA,0.79,0.17,0.87,0.36,0.88,120400,4
164,1301,77579,822,594,846,819,679,0.6,0.12,0.59,0.52,0.92,677,0.91,0.9,0.99,0.74,0.38,0.97,0.8138,4,NA,0.9,0.12,0.74,0.52,0.92,130100,4
165,1302,98351,148,192,325,194,167,0.61,0.25,0.78,0.33,0.93,245,0.95,0.91,0.8,0.9,0.52,0.98,0.843,4,NA,0.91,0.25,0.9,0.33,0.93,130200,4
166,1303,78807,473,719,961,650,520,0.6,0.24,0.47,0.6,0.86,852,0.92,0.9,0.83,0.57,0.31,0.81,0.723,4,NA,0.9,0.24,0.57,0.6,0.86,130300,4
167,1401,39110,947,450,305,226,108,0.41,0.28,0.23,0.81,0.84,628,0.32,0.34,0.74,0.09,0.09,0.75,0.3862,2,NA,0.34,0.28,0.09,0.81,0.84,140100,2
168,1402,38106,"1,457",658,564,385,183,0.43,0.31,0.28,0.79,0.83,782,0.28,0.43,0.65,0.15,0.1,0.7,0.3878,2,NA,0.43,0.31,0.15,0.79,0.83,140200,2
169,1403.01,62845,703,420,373,220,120,0.45,0.26,0.31,0.77,0.83,563,0.79,0.51,0.78,0.22,0.14,0.7,0.5263,3,NA,0.51,0.26,0.22,0.77,0.83,140301,3
170,1403.02,52243,"1,144",662,567,353,190,0.45,0.26,0.43,0.77,0.83,701,0.61,0.51,0.78,0.5,0.14,0.7,0.5424,3,NA,0.51,0.26,0.5,0.77,0.83,140302,3
171,1404,67169,"1,017","1,165","1,391",658,279,0.51,0.23,0.63,0.44,0.84,"1,185",0.84,0.73,0.85,0.77,0.45,0.75,0.7303,4,NA,0.73,0.23,0.77,0.44,0.84,140400,4
172,1405,51459,701,652,550,323,168,0.48,0.26,0.48,0.62,0.81,607,0.6,0.64,0.78,0.58,0.29,0.58,0.5782,3,NA,0.64,0.26,0.58,0.62,0.81,140500,3
173,1406.01,58231,710,475,319,212,31,0.41,0.24,0.4,0.74,0.8,514,0.73,0.34,0.83,0.44,0.19,0.54,0.5104,3,NA,0.34,0.24,0.44,0.74,0.8,140601,3
174,1406.02,42455,"1,632",699,465,276,97,0.38,0.36,0.29,0.74,0.8,"1,086",0.39,0.2,0.54,0.18,0.19,0.54,0.3395,2,NA,0.2,0.36,0.18,0.74,0.8,140602,2
175,1407.01,41513,705,418,438,233,56,0.44,0.28,0.3,0.79,0.82,486,0.37,0.48,0.74,0.21,0.1,0.63,0.4208,2,NA,0.48,0.28,0.21,0.79,0.82,140701,2
176,1407.02,38665,"1,905",821,600,338,133,0.39,0.36,0.32,0.79,0.81,"1,107",0.3,0.23,0.54,0.24,0.1,0.58,0.3331,2,NA,0.23,0.36,0.24,0.79,0.81,140702,2
177,1408,68453,"1,403",981,813,834,765,0.54,0.23,0.44,0.57,0.84,"1,005",0.85,0.79,0.85,0.52,0.35,0.75,0.6842,4,NA,0.79,0.23,0.52,0.57,0.84,140800,4
178,1502,60593,955,"1,422","1,339","1,118",335,0.54,0.29,0.47,0.43,0.85,"1,099",0.76,0.79,0.71,0.57,0.46,0.78,0.6787,4,NA,0.79,0.29,0.57,0.43,0.85,150200,4
179,1503,59238,936,"1,462","1,514",673,431,0.53,0.32,0.56,0.44,0.85,"1,040",0.74,0.78,0.62,0.7,0.45,0.78,0.6771,4,NA,0.78,0.32,0.7,0.44,0.85,150300,4
180,1504.01,62637,775,"1,031",858,508,182,0.5,0.27,0.58,0.52,0.88,736,0.79,0.71,0.77,0.72,0.38,0.88,0.7081,4,NA,0.71,0.27,0.72,0.52,0.88,150401,4
181,1504.02,77828,574,981,681,308,135,0.48,0.23,0.64,0.52,0.88,580,0.91,0.64,0.85,0.78,0.38,0.88,0.7408,4,NA,0.64,0.23,0.78,0.52,0.88,150402,4
182,1505.01,51092,591,765,767,269,129,0.49,0.23,0.75,0.45,0.89,546,0.59,0.68,0.85,0.86,0.44,0.91,0.7221,4,NA,0.68,0.23,0.86,0.45,0.89,150501,4
183,1505.02,64831,779,"1,068",613,276,217,0.47,0.31,0.59,0.45,0.9,595,0.8,0.59,0.65,0.74,0.44,0.94,0.6954,4,NA,0.59,0.31,0.74,0.45,0.9,150502,4
184,1506,81645,677,923,715,342,155,0.48,0.3,0.62,0.5,0.86,663,0.93,0.64,0.69,0.76,0.4,0.81,0.7064,4,NA,0.64,0.3,0.76,0.5,0.86,150600,4
185,1507,56836,676,"1,072",921,330,95,0.48,0.26,0.62,0.49,0.86,733,0.7,0.64,0.78,0.76,0.41,0.81,0.685,4,NA,0.64,0.26,0.76,0.49,0.86,150700,4
186,1508,46909,852,984,713,408,136,0.47,0.34,0.5,0.5,0.86,817,0.5,0.59,0.58,0.62,0.4,0.81,0.5844,3,NA,0.59,0.34,0.62,0.5,0.86,150800,3
187,1510.01,46129,581,591,422,116,84,0.44,0.36,0.48,0.7,0.85,489,0.48,0.48,0.54,0.58,0.23,0.78,0.5124,3,NA,0.48,0.36,0.58,0.7,0.85,151001,3
188,1510.02,45838,822,"1,067",661,279,199,0.47,0.36,0.43,0.7,0.83,818,0.47,0.59,0.54,0.5,0.23,0.7,0.5049,3,NA,0.59,0.36,0.5,0.7,0.83,151002,3
189,1511,65918,"1,147","1,134",724,344,251,0.46,0.35,0.44,0.78,0.83,878,0.82,0.54,0.55,0.52,0.13,0.7,0.544,3,NA,0.54,0.35,0.52,0.78,0.83,151100,3
190,1512,57781,725,929,587,292,148,0.47,0.2,0.68,0.64,0.83,665,0.72,0.59,0.9,0.82,0.29,0.7,0.6699,4,NA,0.59,0.2,0.82,0.64,0.83,151200,4
191,1601,76912,287,574,403,296,159,0.54,0.27,0.6,0.34,0.84,411,0.91,0.79,0.77,0.75,0.51,0.75,0.7455,4,NA,0.79,0.27,0.75,0.34,0.84,160100,4
192,1602,71761,401,680,707,448,257,0.56,0.23,0.58,0.37,0.84,637,0.88,0.84,0.85,0.72,0.49,0.75,0.7552,4,NA,0.84,0.23,0.72,0.37,0.84,160200,4
193,1603,62119,535,625,764,672,204,0.56,0.3,0.37,0.48,0.85,311,0.78,0.84,0.69,0.35,0.42,0.78,0.6425,4,NA,0.84,0.3,0.35,0.48,0.85,160300,4
194,1604,48728,934,785,845,520,190,0.49,0.37,0.45,0.52,0.82,736,0.54,0.68,0.52,0.53,0.38,0.63,0.5466,3,NA,0.68,0.37,0.53,0.52,0.82,160400,3
195,1605.01,45023,"1,132",593,405,411,98,0.43,0.31,0.42,0.73,0.83,820,0.46,0.43,0.65,0.47,0.2,0.7,0.4884,3,NA,0.43,0.31,0.47,0.73,0.83,160501,3
196,1605.02,47153,859,512,500,277,137,0.45,0.33,0.44,0.73,0.84,631,0.51,0.51,0.59,0.52,0.2,0.75,0.5139,3,NA,0.51,0.33,0.52,0.73,0.84,160502,3
197,1606.01,60483,725,599,578,321,160,0.48,0.37,0.44,0.61,0.85,542,0.76,0.64,0.52,0.52,0.3,0.78,0.5847,3,NA,0.64,0.37,0.52,0.61,0.85,160601,3
198,1606.02,47208,652,695,578,417,190,0.51,0.33,0.44,0.61,0.85,493,0.51,0.73,0.59,0.52,0.3,0.78,0.5718,3,NA,0.73,0.33,0.52,0.61,0.85,160602,3
199,1607,59823,"1,158","1,114","1,063",589,175,0.48,0.33,0.46,0.59,0.85,926,0.74,0.64,0.59,0.55,0.33,0.78,0.6044,3,NA,0.64,0.33,0.55,0.59,0.85,160700,3
200,1608,56438,"1,183",829,727,547,135,0.46,0.37,0.42,0.59,0.86,821,0.7,0.54,0.52,0.47,0.33,0.81,0.5614,3,NA,0.54,0.37,0.47,0.59,0.86,160800,3
201,1609,68249,281,342,473,332,291,0.6,0.28,0.53,0.35,0.85,354,0.85,0.9,0.74,0.66,0.51,0.78,0.7372,4,NA,0.9,0.28,0.66,0.35,0.85,160900,4
202,1610,64170,138,219,468,227,184,0.62,0.27,0.48,0.3,0.84,233,0.8,0.91,0.77,0.58,0.54,0.75,0.7248,4,NA,0.91,0.27,0.58,0.3,0.84,161000,4
203,1611,92955,335,291,324,185,135,0.52,0.16,0.6,0.42,0.85,281,0.95,0.76,0.94,0.75,0.46,0.78,0.7733,4,NA,0.76,0.16,0.75,0.42,0.85,161100,4
204,1612,56651,549,559,336,121,47,0.42,0.3,0.57,0.65,0.84,413,0.7,0.39,0.69,0.71,0.28,0.75,0.5849,3,NA,0.39,0.3,0.71,0.65,0.84,161200,3
205,1613,51336,854,968,462,261,116,0.44,0.41,0.33,0.66,0.82,643,0.59,0.48,0.44,0.27,0.26,0.63,0.4458,2,NA,0.48,0.41,0.27,0.66,0.82,161300,2
206,1701,69180,398,465,357,192,149,0.5,0.25,0.82,0.37,0.88,90,0.86,0.71,0.8,0.92,0.49,0.88,0.7782,4,NA,0.71,0.25,0.92,0.37,0.88,170100,4
207,1702,64885,542,867,728,331,191,0.51,0.23,0.77,0.53,0.9,612,0.81,0.73,0.85,0.88,0.38,0.94,0.7649,4,NA,0.73,0.23,0.88,0.53,0.9,170200,4
208,1703,54459,948,"1,082","1,019",434,185,0.48,0.21,0.73,0.51,0.88,711,0.67,0.64,0.89,0.84,0.4,0.88,0.7196,4,NA,0.64,0.21,0.84,0.51,0.88,170300,4
209,1704,57326,651,"1,013",768,263,130,0.47,0.25,0.77,0.42,0.89,535,0.71,0.59,0.8,0.88,0.46,0.91,0.7283,4,NA,0.59,0.25,0.88,0.42,0.89,170400,4
210,1705,68350,834,"1,190",914,363,209,0.48,0.22,0.77,0.37,0.93,775,0.85,0.64,0.87,0.88,0.49,0.98,0.787,4,NA,0.64,0.22,0.88,0.37,0.93,170500,4
211,1706,67549,381,667,490,182,83,0.48,0.2,0.84,0.31,0.93,362,0.84,0.64,0.9,0.94,0.54,0.98,0.8068,4,NA,0.64,0.2,0.94,0.31,0.93,170600,4
212,1707,73553,508,689,603,202,123,0.48,0.21,0.76,0.42,0.91,447,0.89,0.64,0.89,0.87,0.46,0.95,0.7842,4,NA,0.64,0.21,0.87,0.42,0.91,170700,4
213,1708,72410,612,994,595,306,136,0.48,0.2,0.75,0.47,0.89,515,0.89,0.64,0.9,0.86,0.42,0.91,0.7714,4,NA,0.64,0.2,0.86,0.47,0.89,170800,4
214,1709,49399,362,455,215,86,44,0.43,0.26,0.75,0.54,0.89,289,0.56,0.43,0.78,0.86,0.37,0.91,0.6527,4,NA,0.43,0.26,0.86,0.54,0.89,170900,4
215,1710,72455,"1,111","1,633","1,444",666,323,0.5,0.21,0.76,0.51,0.87,"1,016",0.89,0.71,0.89,0.87,0.4,0.86,0.7673,4,NA,0.71,0.21,0.87,0.51,0.87,171000,4
216,1711,60881,794,910,694,283,116,0.46,0.22,0.7,0.67,0.87,636,0.76,0.54,0.87,0.83,0.25,0.86,0.6856,4,NA,0.54,0.22,0.83,0.67,0.87,171100,4
217,1801,60103,900,"1,609","1,166",413,157,0.47,0.28,0.71,0.61,0.82,932,0.75,0.59,0.74,0.83,0.3,0.63,0.6396,4,NA,0.59,0.28,0.83,0.61,0.82,180100,4
218,1901,53109,510,462,340,114,27,0.42,0.32,0.32,0.83,0.83,496,0.64,0.39,0.62,0.24,0.06,0.7,0.4427,2,NA,0.39,0.32,0.24,0.83,0.83,190100,2
219,1902,49568,"1,496",889,777,237,106,0.4,0.31,0.52,0.76,0.83,"1,171",0.56,0.29,0.65,0.64,0.17,0.7,0.5032,3,NA,0.29,0.31,0.64,0.76,0.83,190200,3
220,1903,54476,"1,180","1,321",851,283,187,0.44,0.29,0.46,0.76,0.78,924,0.67,0.48,0.71,0.55,0.17,0.43,0.5012,3,NA,0.48,0.29,0.55,0.76,0.78,190300,3
221,1904.01,53491,738,931,646,293,112,0.46,0.28,0.66,0.72,0.89,756,0.65,0.54,0.74,0.8,0.21,0.91,0.6427,4,NA,0.54,0.28,0.8,0.72,0.89,190401,4
222,1904.02,56797,"1,123","1,148",763,218,148,0.43,0.34,0.53,0.72,0.84,"1,021",0.7,0.43,0.58,0.66,0.21,0.75,0.5545,3,NA,0.43,0.34,0.66,0.72,0.84,190402,3
223,1906.01,49790,"1,020",850,519,206,51,0.4,0.31,0.52,0.77,0.86,"1,003",0.57,0.29,0.65,0.64,0.14,0.81,0.5179,3,NA,0.29,0.31,0.64,0.77,0.86,190601,3
224,1906.02,56984,"1,421",948,670,167,107,0.39,0.31,0.6,0.77,0.82,"1,183",0.7,0.23,0.65,0.75,0.14,0.63,0.5179,3,NA,0.23,0.31,0.75,0.77,0.82,190602,3
225,1907.01,45874,726,453,389,131,16,0.4,0.33,0.42,0.86,0.75,697,0.48,0.29,0.59,0.47,0.04,0.33,0.366,2,NA,0.29,0.33,0.47,0.86,0.75,190701,2
226,1907.02,45264,"1,311",687,427,194,89,0.38,0.35,0.35,0.86,0.77,"1,071",0.47,0.2,0.55,0.31,0.04,0.38,0.3244,1,NA,0.2,0.35,0.31,0.86,0.77,190702,1
227,1908,38161,"1,584","1,187",776,251,117,0.4,0.35,0.42,0.76,0.78,"1,309",0.28,0.29,0.55,0.47,0.17,0.43,0.3654,2,NA,0.29,0.35,0.47,0.76,0.78,190800,2
228,1909,55413,555,314,283,152,50,0.43,0.31,0.46,0.74,0.78,389,0.68,0.43,0.65,0.55,0.19,0.43,0.4902,3,NA,0.43,0.31,0.55,0.74,0.78,190900,3
229,1910,62753,678,445,242,75,44,0.38,0.33,0.54,0.88,0.77,534,0.79,0.2,0.59,0.68,0.03,0.38,0.4457,2,NA,0.2,0.33,0.68,0.88,0.77,191000,2
230,1911,47794,"1,901","1,399",560,154,142,0.37,0.38,0.41,0.78,0.77,"1,755",0.52,0.16,0.49,0.46,0.13,0.38,0.3563,2,NA,0.16,0.38,0.46,0.78,0.77,191100,2
231,1912,44193,"1,227",380,240,108,52,0.34,0.39,0.37,0.83,0.78,978,0.44,0.08,0.47,0.35,0.06,0.43,0.3038,1,NA,0.08,0.39,0.35,0.83,0.78,191200,1
232,1913.01,53362,"1,452",809,480,202,78,0.38,0.35,0.46,0.78,0.81,"1,193",0.65,0.2,0.55,0.55,0.13,0.58,0.4423,2,NA,0.2,0.35,0.55,0.78,0.81,191301,2
233,1913.02,42848,"1,452",720,447,137,57,0.36,0.32,0.48,0.78,0.78,"1,192",0.41,0.14,0.62,0.58,0.13,0.43,0.384,2,NA,0.14,0.32,0.58,0.78,0.78,191302,2
234,2001,50119,"1,074",739,585,328,82,0.43,0.38,0.51,0.7,0.81,835,0.57,0.43,0.49,0.63,0.23,0.58,0.4881,3,NA,0.43,0.38,0.63,0.7,0.81,200100,3
235,2002,44199,"1,394",940,606,207,69,0.39,0.45,0.34,0.82,0.79,"1,103",0.44,0.23,0.4,0.29,0.08,0.48,0.3208,1,NA,0.23,0.45,0.29,0.82,0.79,200200,1
236,2003,62750,565,362,313,60,0,0.38,0.42,0.37,0.77,0.76,463,0.79,0.2,0.42,0.35,0.14,0.35,0.3753,2,NA,0.2,0.42,0.35,0.77,0.76,200300,2
237,2004.01,40936,"1,054",482,288,158,60,0.37,0.37,0.41,0.83,0.77,804,0.37,0.16,0.52,0.46,0.06,0.38,0.3233,1,NA,0.16,0.37,0.46,0.83,0.77,200401,1
238,2004.02,49158,"1,503",600,283,116,34,0.33,0.42,0.37,0.83,0.76,984,0.55,0.05,0.42,0.35,0.06,0.35,0.2969,1,NA,0.05,0.42,0.35,0.83,0.76,200402,1
239,2101,63150,959,724,605,310,119,0.45,0.28,0.49,0.61,0.85,617,0.8,0.51,0.74,0.6,0.3,0.78,0.6209,3,NA,0.51,0.28,0.6,0.61,0.85,210100,3
240,2104,49379,721,498,503,158,42,0.42,0.33,0.38,0.73,0.79,575,0.56,0.39,0.59,0.39,0.2,0.48,0.4355,2,NA,0.39,0.33,0.39,0.73,0.79,210400,2
241,2105.01,43223,"1,320",715,316,168,37,0.36,0.39,0.28,0.86,0.76,641,0.42,0.14,0.47,0.15,0.04,0.35,0.2603,1,NA,0.14,0.39,0.15,0.86,0.76,210501,1
242,2105.02,46127,"1,272",938,372,113,78,0.37,0.42,0.32,0.86,0.76,856,0.48,0.16,0.42,0.24,0.04,0.35,0.2819,1,NA,0.16,0.42,0.24,0.86,0.76,210502,1
243,2106.01,40252,999,347,381,182,117,0.41,0.3,0.39,0.8,0.8,520,0.35,0.34,0.69,0.41,0.09,0.54,0.4026,2,NA,0.34,0.3,0.41,0.8,0.8,210601,2
244,2106.02,35262,"1,293",698,649,209,73,0.4,0.38,0.33,0.8,0.82,831,0.24,0.29,0.49,0.27,0.09,0.63,0.3351,2,NA,0.29,0.38,0.27,0.8,0.82,210602,2
245,2107,49896,"1,210",667,648,260,108,0.42,0.44,0.37,0.74,0.85,646,0.57,0.39,0.4,0.35,0.19,0.78,0.4459,2,NA,0.39,0.44,0.35,0.74,0.85,210700,2
246,2108,39050,286,155,218,52,56,0.45,0.33,0.33,0.69,0.84,202,0.32,0.51,0.59,0.27,0.23,0.75,0.4461,2,NA,0.51,0.33,0.27,0.69,0.84,210800,2
247,2109,56370,858,594,421,184,114,0.43,0.32,0.48,0.64,0.81,407,0.69,0.43,0.62,0.58,0.29,0.58,0.5323,3,NA,0.43,0.32,0.58,0.64,0.81,210900,3
248,2203,57346,424,293,351,367,151,0.54,0.38,0.39,0.52,0.82,227,0.71,0.79,0.49,0.41,0.38,0.63,0.57,3,NA,0.79,0.38,0.41,0.52,0.82,220300,3
249,2204,57462,530,281,443,404,268,0.56,0.36,0.37,0.49,0.8,219,0.71,0.84,0.54,0.35,0.41,0.54,0.5645,3,NA,0.84,0.36,0.35,0.49,0.8,220400,3
250,2205,51754,551,289,462,455,290,0.57,0.41,0.34,0.59,0.82,178,0.6,0.86,0.44,0.29,0.33,0.63,0.5243,3,NA,0.86,0.41,0.29,0.59,0.82,220500,3
251,2206.01,59927,374,209,287,186,178,0.53,0.3,0.32,0.64,0.81,212,0.75,0.78,0.69,0.24,0.29,0.58,0.5529,3,NA,0.78,0.3,0.24,0.64,0.81,220601,3
252,2206.02,43645,"1,385",699,722,479,277,0.46,0.46,0.23,0.64,0.81,536,0.42,0.54,0.39,0.09,0.29,0.58,0.3842,2,NA,0.54,0.46,0.09,0.64,0.81,220602,2
253,2207.01,34102,"1,024",416,437,157,74,0.4,0.4,0.37,0.76,0.79,665,0.21,0.29,0.46,0.35,0.17,0.48,0.3257,1,NA,0.29,0.4,0.35,0.76,0.79,220701,1
254,2207.02,41963,"1,211",478,512,198,92,0.4,0.45,0.31,0.76,0.79,787,0.38,0.29,0.4,0.22,0.17,0.48,0.323,1,NA,0.29,0.45,0.22,0.76,0.79,220702,1
255,2209.01,46368,"1,157",396,297,121,26,0.35,0.42,0.31,0.79,0.76,813,0.49,0.11,0.42,0.22,0.1,0.35,0.2831,1,NA,0.11,0.42,0.22,0.79,0.76,220901,1
256,2209.02,34521,"1,208",391,292,117,29,0.34,0.4,0.35,0.79,0.79,716,0.22,0.08,0.46,0.31,0.1,0.48,0.2759,1,NA,0.08,0.4,0.31,0.79,0.79,220902,1
257,2210,35409,835,395,415,90,42,0.39,0.46,0.32,0.77,0.76,584,0.24,0.23,0.39,0.24,0.14,0.35,0.2659,1,NA,0.23,0.46,0.24,0.77,0.76,221000,1
258,2211,32097,"1,731",559,486,399,215,0.41,0.47,0.31,0.69,0.76,651,0.18,0.34,0.38,0.22,0.23,0.35,0.2841,1,NA,0.34,0.47,0.22,0.69,0.76,221100,1
259,2212,50807,838,425,380,253,140,0.45,0.45,0.38,0.68,0.78,330,0.58,0.51,0.4,0.39,0.24,0.43,0.4264,2,NA,0.51,0.45,0.39,0.68,0.78,221200,2
260,2213,38261,"1,080",375,438,167,135,0.41,0.32,0.25,0.69,0.79,377,0.28,0.34,0.62,0.11,0.23,0.48,0.3451,2,NA,0.34,0.32,0.11,0.69,0.79,221300,2
261,2214,33494,"1,024",482,228,261,103,0.4,0.35,0.38,0.75,0.85,397,0.2,0.29,0.55,0.39,0.19,0.78,0.3995,2,NA,0.29,0.35,0.39,0.75,0.85,221400,2
262,2215,55784,848,329,381,354,207,0.48,0.4,0.25,0.61,0.87,269,0.69,0.64,0.46,0.11,0.3,0.86,0.5079,3,NA,0.64,0.4,0.11,0.61,0.87,221500,3
263,2216,85378,498,300,304,729,422,0.62,0.22,0.4,0.43,0.81,191,0.94,0.91,0.87,0.44,0.46,0.58,0.7007,4,NA,0.91,0.22,0.44,0.43,0.81,221600,4
264,2222,116863,318,192,266,468,234,0.61,0.12,0.56,0.42,0.8,153,0.97,0.91,0.99,0.7,0.46,0.54,0.7601,4,NA,0.91,0.12,0.7,0.42,0.8,222200,4
265,2225,35700,449,225,151,76,25,0.38,0.48,0.36,0.71,0.74,212,0.24,0.2,0.37,0.33,0.22,0.31,0.2803,1,NA,0.2,0.48,0.33,0.71,0.74,222500,1
266,2226,42863,507,253,271,113,42,0.42,0.52,0.28,0.62,0.73,203,0.41,0.39,0.36,0.15,0.29,0.3,0.3174,1,NA,0.39,0.52,0.15,0.62,0.73,222600,1
267,2227,36401,586,332,283,139,41,0.41,0.55,0.32,0.67,0.68,459,0.25,0.34,0.35,0.24,0.25,0.19,0.2713,1,NA,0.34,0.55,0.24,0.67,0.68,222700,1
268,2228,29618,447,37,88,33,0,0.3,0.54,0.21,0.83,0.7,257,0.14,0.01,0.35,0.07,0.06,0.24,0.1442,1,NA,0.01,0.54,0.07,0.83,0.7,222800,1
269,2229,22371,504,86,107,13,0,0.3,0.43,0.41,0.84,0.74,291,0.05,0.01,0.41,0.46,0.06,0.31,0.2173,1,NA,0.01,0.43,0.46,0.84,0.74,222900,1
